Shelfmark ,Catalogue volume,Catalog pp. (begin),Catalog pp. (end),Wright’s Numeration ,Wright’s Dating,,Wright Numeration OCR,Shelfmark,ShelfmarkOCR,,,,,MS to fix
"Add. 12,133, foll. 109-169",1,31,32,LI,8c,,,"Add.12,133,foll.109-169","Add.12,133,foll.109-169",,,,,"Add.i7,272,foll.106-112"
"Add. 12,133, foll. 1-108",1,7,8,IX,8c(early),,,"Add.12,133,foll.1-108","Add.12,133,foll.1-108",,,,,"Add.I47O8,foll.1-51"
"Add. 12,134 ",1,29,31,XLIX,697,,,"Add.12,134","Add.12,134",,,"[Add. 14,425.J",,"Add.23,602.B,foll.26-28"
"Add. 12,135, foll. 1-43",1,24,26,XL,726,,,"Add.12,135,foll.1-43","Add.12,135,foll.1-43",,,,,"Add.23,602.B,foll.23,24"
"Add. 12,135, foll. 44-207",2,486,487,DCXIII,611,,,"Add.12,135,foll.44-207","Add.12,135,foll.44-207",,,,,"Add.23,602.B,foll.19-21"
"Add. 12,136 ",1,24,24,XXXIX,7c,,,"Add.12,136","Add.12,136",,,,,"Add.23,602.B,foll.1-18"
"Add. 12,137 ",1,50,52,LXXV,6c-7c,,,"Add.12,137","Add.12,137",,,,,"Add.23,602.B,fol.25"
"Add. 12,138 ",1,101,108,CLXI,899,,,"Add.12,138","Add.12,138",,,,,"Add.23,602.B,fol.22"
"Add. 12,139 ",1,154,159,CCXXIV,1000,,,"Add.12,139","Add.12,139",,,,,"Add.23,602.A,foll.99-101"
"Add. 12,140 ",1,49,49,LXXIII,6c,,,"Add.12,140","Add.12,140",,,,,"Add.23,602.A,foll.76-98"
"Add. 12,141 ",1,63,64,LXXXIX,6c-7c,,,"Add.12,141","Add.12,141",,,,,"Add.23,602.A,foll.1-75"
"Add. 12,142, foll. 108-242",2,465,466,DLXXXII,6c(early),,,"Add.12,142,foll.108-242","Add.12,142,foll.108-242",,,,,"Add.23,601"
"Add. 12,142, foll. 1-73",1,97,98,CLIV,6c-7c,,,"Add.12,142,foll.1-73","Add.12,142,foll.1-73",,,,,"Add.23,600"
"Add. 12,142, foll. 74-107",3,1092,1093,DCCCCXLIV,6c,,,"Add.12,142,foll.74-107","Add.12,142,foll.74-107",,,,,Add.17.166
"Add. 12,143 ",2,623,623,DCCXXII,1229,,,"Add.12,143","Add.12,143",,,,,"Add.17,2f8,foll.41,42"
"Add. 12,144 ",2,908,914,DCCCLIII,1081,,,"Add.12,144","Add.12,144",,,,,"Add.17,280,foll.1-19"
"Add. 12,145 ",1,251,254,CCCXIII,10c,,,"Add.12,145","Add.12,145",,,,,"Add.17,26i"
"Add. 12,146 ",1,258,261,CCCXIX,1007,,,"Add.12,146","Add.12,146",,,,,"Add.17,268,foll.1-118"
"Add. 12,147 ",1,261,264,CCCXX,1006,,,"Add.12,147","Add.12,147",,,,,"Add.17,267,foll.22-73"
"Add. 12,148 ",1,264,266,CCCXXI,1007,,,"Add.12,148","Add.12,148",,,,,"Add.17,267,foll.108-111"
"Add. 12,149 ",1,266,269,CCCXXII,1006,,,"Add.12,149","Add.12,149",,,,,"Add.17,267,foll,76-78"
"Add. 12,150 ",2,631,633,DCCXXVI,412,,,"Add.12,150","Add.12,150",,,,,"Add.17,267,fol.81"
"Add. 12,151 ",2,493,497,DCXXV,804,,,"Add.12,151","Add.12,151",,,,,"Add.17,267,fol.80"
"Add. 12,152 ",2,497,499,DCXXVI,837,,,"Add.12,152","Add.12,152",,,,,"Add.17,267,fol.74"
"Add. 12,153 ",2,423,428,DLV,845,,,"Add.12,153","Add.12,153",,,,,"Add.17,266,foll.1-82"
"Add. 12,154 ",2,976,989,DCCCLX,8c(late)-9c(early),,,"Add.12,154","Add.12,154",,,,,"Add.17,263,foll.70-103"
"Add. 12,155 ",2,921,955,DCCCLVII,8c,,,"Add.12,155","Add.12,155",,,,,"Add.17,261"
"Add. 12,156 ",2,639,648,DCCXXIX,6c,(<562),,"Add.12,156","Add.12,156",,,,,"Add.14,683"
"Add. 12,157 ",2,550,554,DCLXXXVIII,7c-8c,,,"Add.12,157","Add.12,157",,,,,"Add.14,659"
"Add. 12,158 ",2,555,557,DCXC,6c,-588,,"Add.12,158","Add.12,158",,,,,"Add.14,630"
"Add. 12,159 ",2,534,546,DCLXXXV,868,,,"Add.12,159","Add.12,159",,,,,"Add.14,625,foll.66-76"
"Add. 12,160, foll. 109-185",3,1090,1091,DCCCCXLII,6c,(late),,"Add.12,160,foll.109-185","Add.12,160,foll.109-185",,,,,"Add.14,624,foll.48-67"
"Add. 12,160, foll. 1-108",2,472,473,DXC,584,,,"Add.12,160,foll.1-108","Add.12,160,foll.1-108",,,,,"Add.14,624,foll.22-29"
"Add. 12,161 ",2,469,470,DLXXXVII,6c-7c,,,"Add.12,161","Add.12,161",,,,,"Add.14,623,foll.39-46"
"Add. 12,162 ",2,721,723,DCCLIX,9c,,,"Add.12,162","Add.12,162",,,,,"Add.14,622,foll.1-3"
"Add. 12,163, foll. 1-126",2,529,530,DCLXXVII,6c,,,"Add.12,163,foll.1-126","Add.12,163,foll.1-126",,,,,"Add.14,618"
"Add. 12,163, foll. 127-304",2,834,836,DCCCXIX,10c-11c,,,"Add.12,163,foll.127-304","Add.12,163,foll.127-304",,,,,"Add.14,611"
"Add. 12,163, foll. 305-311",2,445,445,DLXVI,7c,,,"Add.12,163,foll.305-311","Add.12,163,foll.305-311",,,,,"Add.14,602"
"Add. 12,164 ",2,527,529,DCLXXVI,6c,,,"Add.12,164","Add.12,164",,,,,"[Add. 14,455.]"
"Add. 12,165 ",2,842,851,DCCCXXV,1015,,,"Add.12,165","Add.12,165",,,,,
"Add. 12,166, foll. 1-154",2,674,676,DCCXLII,6c,,,"Add.12,166,foll.1-154","Add.12,166,foll.1-154",,,,,
"Add. 12,166, foll. 155-258",2,491,492,DCXX,553,,,"Add.12,166,foll.155-258","Add.12,166,foll.155-258",,,,,
"Add. 12,167 ",2,769,774,DCCLXXXV,876,,,"Add.12,167","Add.12,167",,,,,
"Add. 12,168 ",2,904,908,DCCCLII,8c-9c,,,"Add.12,168","Add.12,168",,,,,
"Add. 12,169, foll. 1-178",2,589,590,DCCIII,8c-9c,,,"Add.12,169,foll.1-178","Add.12,169,foll.1-178",,,,,
"Add. 12,169, foll. 179-218",2,673,674,DCCXLI,6c,,,"Add.12,169,foll.179-218","Add.12,169,foll.179-218",,,,,
"Add. 12,170, foll. 1-135",2,458,461,DLXXV,604,,,"Add.12,170,foll.1-135","Add.12,170,foll.1-135",,,,,
"Add. 12,170, foll. 136-276",2,746,752,DCCLXXIV,8c-9c(early),,,"Add.12,170,foll.136-276","Add.12,170,foll.136-276",,,,,
"Add. 12,170, foll. 277-279",2,752,752,DCCLXXV,8c-9c(early),,,"Add.12,170,foll.277-279","Add.12,170,foll.277-279",,,,,
"Add. 12,171, foll. 1-64",2,587,588,DCCI,815,,,"Add.12,171,foll.1-64","Add.12,171,foll.1-64",,,,,
