,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
0,"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/1.json'}",ܐܐܪ,"{'Arabic': ['هواء', 'هيئة'], 'French': ['air', 'aspect'], 'English': ['air', 'air\u200f.']}",{'Greek': ['ἀήρ']},"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/root/1.json'}","[{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/word/1.json'}, {'id': 42245, 'uri': 'https://sedra.bethmardutho.org/api/word/42245.json'}, {'id': 2, 'uri': 'https://sedra.bethmardutho.org/api/word/2.json'}, {'id': 3, 'uri': 'https://sedra.bethmardutho.org/api/word/3.json'}, {'id': 4, 'uri': 'https://sedra.bethmardutho.org/api/word/4.json'}, {'id': 5, 'uri': 'https://sedra.bethmardutho.org/api/word/5.json'}]",noun,,Greek,ἀήρ
17,"{'id': 20, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20.json'}",ܐܓܘܢܐ,"{'Arabic': ['مصارعة, جهاد'], 'French': ['lutte, combat'], 'English': ['contest, struggle.', 'contest', 'conflict']}",{'Greek': ['ἀγών']},"{'id': 15, 'uri': 'https://sedra.bethmardutho.org/api/root/15.json'}","[{'id': 173, 'uri': 'https://sedra.bethmardutho.org/api/word/173.json'}, {'id': 174, 'uri': 'https://sedra.bethmardutho.org/api/word/174.json'}, {'id': 172, 'uri': 'https://sedra.bethmardutho.org/api/word/172.json'}, {'id': 175, 'uri': 'https://sedra.bethmardutho.org/api/word/175.json'}, {'id': 176, 'uri': 'https://sedra.bethmardutho.org/api/word/176.json'}]",noun,,Greek,ἀγών
31,"{'id': 36, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/36.json'}",ܐܕܫܐ,"{'Arabic': ['نوع, جنس', 'ثمرة, إنتاج'], 'French': ['espèce, genre', 'fruit, produit'], 'English': ['profit', 'fruit', 'species, kind', 'fruit, produce.']}",{'Greek': ['εἶδος']},"{'id': 29, 'uri': 'https://sedra.bethmardutho.org/api/root/29.json'}","[{'id': 250, 'uri': 'https://sedra.bethmardutho.org/api/word/250.json'}]",noun,,Greek,εἶδος
40,"{'id': 46, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/46.json'}",ܐܘܟܪܣܛܝܐ,{'English': ['Eucharist']},{'Greek': ['εὐχαριστία']},"{'id': 37, 'uri': 'https://sedra.bethmardutho.org/api/root/37.json'}","[{'id': 269, 'uri': 'https://sedra.bethmardutho.org/api/word/269.json'}, {'id': 270, 'uri': 'https://sedra.bethmardutho.org/api/word/270.json'}]",noun,,Greek,εὐχαριστία
43,"{'id': 49, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/49.json'}",ܐܘܢ,"{'Arabic': ['آه !'], 'French': ['oh'], 'English': ['therefore.', 'Oh!', 'Ah!', 'oh!'], 'Latin': ['O, ah, eheu']}",{'Latin': ['O']},"{'id': 39, 'uri': 'https://sedra.bethmardutho.org/api/root/39.json'}","[{'id': 280, 'uri': 'https://sedra.bethmardutho.org/api/word/280.json'}, {'id': 53384, 'uri': 'https://sedra.bethmardutho.org/api/word/53384.json'}]",particle,,Latin,O
46,"{'id': 53, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/53.json'}",ܐܘܩܝܢܐ,"{'Arabic': ['مرجاس'], 'French': ['sonde'], 'English': ['anchor', 'anchor.', 'hook'], 'Greek': ['ὄγκινος']}","{'Greek': ['ὄγκινος', 'ὄγκινος']}","{'id': 43, 'uri': 'https://sedra.bethmardutho.org/api/root/43.json'}","[{'id': 48938, 'uri': 'https://sedra.bethmardutho.org/api/word/48938.json'}, {'id': 292, 'uri': 'https://sedra.bethmardutho.org/api/word/292.json'}, {'id': 54878, 'uri': 'https://sedra.bethmardutho.org/api/word/54878.json'}, {'id': 293, 'uri': 'https://sedra.bethmardutho.org/api/word/293.json'}]",noun,,Greek,"ὄγκινος, ὄγκινος"
50,"{'id': 57, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/57.json'}",ܐܘܪܩܠܝܕܘܢ,"{'English': ['Euraquilo', 'wind']}",{'Greek': ['εὐροκλύδων']},"{'id': 46, 'uri': 'https://sedra.bethmardutho.org/api/root/46.json'}","[{'id': 298, 'uri': 'https://sedra.bethmardutho.org/api/word/298.json'}]",proper noun,,Greek,εὐροκλύδων
54,"{'id': 61, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/61.json'}",ܐܘܪܝܬܐ,"{'Arabic': ['شريعة (توراة)'], 'French': ['Loi (Pentateuque)'], 'English': ['Law', 'the Law, Torah.']}",{'Hebrew': ['אֹורָיָיתָא']},"{'id': 50, 'uri': 'https://sedra.bethmardutho.org/api/root/50.json'}","[{'id': 324, 'uri': 'https://sedra.bethmardutho.org/api/word/324.json'}, {'id': 325, 'uri': 'https://sedra.bethmardutho.org/api/word/325.json'}, {'id': 326, 'uri': 'https://sedra.bethmardutho.org/api/word/326.json'}]",noun,,Hebrew,אֹורָיָיתָא
68,"{'id': 77, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/77.json'}",ܐܝܙܓܕܐ,"{'Arabic': ['رسول', 'نائب'], 'French': ['messager', 'légat'], 'English': ['ambassador', 'messenger', 'name of a star', 'messenger, envoy', 'Kth. ambassador.', 'ambassador', 'legate', 'representative', 'envoy']}","{'Persian, Middle (Pahlavi)': ['*izgand']}","{'id': 61, 'uri': 'https://sedra.bethmardutho.org/api/root/61.json'}","[{'id': 609, 'uri': 'https://sedra.bethmardutho.org/api/word/609.json'}, {'id': 610, 'uri': 'https://sedra.bethmardutho.org/api/word/610.json'}, {'id': 608, 'uri': 'https://sedra.bethmardutho.org/api/word/608.json'}]",noun,,"Persian, Middle (Pahlavi)",*izgand
84,"{'id': 94, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/94.json'}",ܐܝܣܟܪ,{'English': ['Issachar']},{'Hebrew': ['יִשָּׂשכָר']},"{'id': 76, 'uri': 'https://sedra.bethmardutho.org/api/root/76.json'}","[{'id': 696, 'uri': 'https://sedra.bethmardutho.org/api/word/696.json'}, {'id': 695, 'uri': 'https://sedra.bethmardutho.org/api/word/695.json'}]",proper noun (nations; e.g. Huns),,Hebrew,יִשָּׂשכָר
88,"{'id': 99, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/99.json'}",ܐܝܪܘܦܘܠܝܣ,"{'Latin': ['Hierapolis'], 'Arabic': ['منبج\u200e']}","{'Greek': ['Ἱερὰ + πόλις, Holy city', 'Hierapolis']}","{'id': 80, 'uri': 'https://sedra.bethmardutho.org/api/root/80.json'}","[{'id': 713, 'uri': 'https://sedra.bethmardutho.org/api/word/713.json'}, {'id': 712, 'uri': 'https://sedra.bethmardutho.org/api/word/712.json'}]",proper noun,,Greek,"Ἱερὰ + πόλις, Holy city, Hierapolis"
92,"{'id': 103, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/103.json'}",ܐܝܬܘܬܐ,"{'Arabic': ['جوهر'], 'French': ['essence'], 'English': ['substance', 'essence', 'being, essence, existence', 'Divine Being, Godhead.']}",{'Greek': ['essentia']},"{'id': 83, 'uri': 'https://sedra.bethmardutho.org/api/root/83.json'}","[{'id': 759, 'uri': 'https://sedra.bethmardutho.org/api/word/759.json'}, {'id': 760, 'uri': 'https://sedra.bethmardutho.org/api/word/760.json'}, {'id': 661, 'uri': 'https://sedra.bethmardutho.org/api/word/661.json'}]",noun,,Greek,essentia
93,"{'id': 104, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/104.json'}",ܐܟܐܝܐ,{'English': ['Achaia']},{'Greek': ['Ἀχαΐα']},"{'id': 84, 'uri': 'https://sedra.bethmardutho.org/api/root/84.json'}","[{'id': 761, 'uri': 'https://sedra.bethmardutho.org/api/word/761.json'}, {'id': 762, 'uri': 'https://sedra.bethmardutho.org/api/word/762.json'}, {'id': 765, 'uri': 'https://sedra.bethmardutho.org/api/word/765.json'}, {'id': 763, 'uri': 'https://sedra.bethmardutho.org/api/word/763.json'}, {'id': 764, 'uri': 'https://sedra.bethmardutho.org/api/word/764.json'}]",proper noun,,Greek,Ἀχαΐα
